cod_mun,municipio,uf
1200203,Cruzeiro do Sul,AC
2700300,Arapiraca,AL
1302405,Lábrea,AM
1303403,Parintins,AM
1304203,Tefé,AM
1600501,Oiapoque,AP
1600535,Porto Grande,AP
2903201,Barreiras,BA
2910800,Feira de Santana,BA
2911709,Guanambi,BA
2913606,Ilhéus,BA
2914604,Irecê,BA
2914802,Itabuna,BA
2918407,Juazeiro,BA
2924009,Paulo Afonso,BA
2928703,Santo Antônio de Jesus,BA
2933307,Vitória da Conquista,BA
2304103,Crateús,CE
2305506,Iguatu,CE
2307304,Juazeiro do Norte,CE
2311306,Quixadá,CE
2312908,Sobral,CE
3201209,Cachoeiro de Itapemirim,ES
3201506,Colatina,ES
3204906,São Mateus,ES
5210208,Iporá,GO
5211503,Itumbiara,GO
5212501,Luziânia,GO
5218003,Porangatu,GO
5218805,Rio Verde,GO
5220108,São Luís de Montes Belos,GO
5221601,Uruaçu,GO
5200258,Águas Lindas de Goiás,GO
2101202,Bacabal,MA
2103000,Caxias,MA
2105302,Imperatriz,MA
2109106,Presidente Dutra,MA
2109908,Santa Inês,MA
3105608,Barbacena,MG
3122306,Divinópolis,MG
3127701,Governador Valadares,MG
3131307,Ipatinga,MG
3136702,Juiz de Fora,MG
3143302,Montes Claros,MG
3148004,Patos de Minas,MG
3152501,Pouso Alegre,MG
3168606,Teófilo Otoni,MG
3170107,Uberaba,MG
3170206,Uberlândia,MG
3170701,Varginha,MG
5003207,Corumbá,MS
5003702,Dourados,MS
5101803,Barra do Garças,MT
5102504,Cáceres,MT
5107602,Rondonópolis,MT
5107909,Sinop,MT
1500602,Altamira,PA
1501808,Breves,PA
1502400,Castanhal,PA
1504208,Marabá,PA
1506138,Redenção,PA
1506807,Santarém,PA
2503704,Cajazeiras,PB
2504009,Campina Grande,PB
2510808,Patos,PB
2516201,Sousa,PB
2604106,Caruaru,PE
2611101,Petrolina,PE
2613909,Serra Talhada,PE
2201903,Bom Jesus,PI
2202901,Corrente,PI
2203909,Floriano,PI
2207702,Parnaíba,PI
2208007,Picos,PI
2210607,São Raimundo Nonato,PI
4104808,Cascavel,PR
4109401,Guarapuava,PR
4113700,Londrina,PR
4115200,Maringá,PR
4119905,Ponta Grossa,PR
3300407,Barra Mansa,RJ
3300704,Cabo Frio,RJ
3301009,Campos dos Goytacazes,RJ
3302403,Macaé,RJ
3303906,Petrópolis,RJ
3304524,Rio das Ostras,RJ
3306305,Volta Redonda,RJ
2402006,Caicó,RN
2408003,Mossoró,RN
1100122,Ji-Paraná,RO
1400209,Caracaraí,RR
1400472,Rorainópolis,RR
4305108,Caxias do Sul,RS
4310207,Ijuí,RS
4311403,Lajeado,RS
4314100,Passo Fundo,RS
4314407,Pelotas,RS
4316808,Santa Cruz do Sul,RS
4316907,Santa Maria,RS
4322400,Uruguaiana,RS
4202404,Blumenau,SC
4203006,Caçador,SC
4204202,Chapecó,SC
4204608,Criciúma,SC
4209102,Joinville,SC
4209300,Lages,SC
2802908,Itabaiana,SE
3503208,Araraquara,SP
3502804,Araçatuba,SP
3506003,Bauru,SP
3509502,Campinas,SP
3529005,Marília,SP
3541406,Presidente Prudente,SP
3543402,Ribeirão Preto,SP
3552205,Sorocaba,SP
3549805,São José do Rio Preto,SP
3549904,São José dos Campos,SP
1702109,Araguaína,TO
1709500,Gurupi,TO
